Seed, N, MU, RHO, S, Num_neutral, Num_sel, pi_neutral, pi_sel
4969138644863360385, 5000, 1.0e-09, 1.0e-07, -0.0001, 7, 11, 8.29173e-07, 1.31367e-06
6917558170044933288, 5000, 1.0e-09, 2.0e-07, -0.001, 3, 3, 4.65001e-07, 9.89834e-07
7672259505921772036, 5000, 1.0e-09, 2.0e-07, -0.01, 6, 7, 8.24046e-07, 1.4158e-07
1515417777715847125, 5000, 1.0e-09, 2.0e-07, -0.01, 6, 6, 3.44755e-06, 1.59366e-07
51598525797527142, 5000, 1.0e-09, 2.0e-07, -0.01, 4, 5, 4.06674e-07, 5.5667e-07
7306217958257771576, 5000, 1.0e-09, 2.0e-07, -0.01, 0, 6, 0.0, 8.01415e-07
3822103872312592145, 5000, 1.0e-09, 2.0e-07, -0.01, 6, 5, 3.51005e-06, 5.991e-08
5928670116588681913, 5000, 1.0e-09, 2.0e-07, -0.01, 4, 5, 5.40445e-07, 3.26958e-07
4362685175832242069, 5000, 1.0e-09, 2.0e-07, -0.01, 4, 4, 7.78476e-08, 2.36707e-07
7877306754254593388, 5000, 1.0e-09, 2.0e-07, -0.01, 9, 7, 1.00615e-06, 3.47823e-07
6507342939932538468, 5000, 1.0e-09, 2.0e-07, -0.01, 5, 11, 3.89813e-07, 5.11988e-07
5810987214923561027, 5000, 1.0e-09, 1.0e-07, -0.0001, 9, 13, 1.77456e-06, 4.83223e-06
6911655185120781976, 5000, 1.0e-09, 2.0e-07, -0.01, 8, 5, 2.3571e-06, 1.05776e-07
4390280527609303808, 5000, 1.0e-09, 2.0e-07, -0.01, 8, 8, 1.42958e-06, 5.04092e-07
5186811371437695841, 5000, 1.0e-09, 2.0e-07, -0.01, 6, 6, 9.34446e-07, 2.37266e-07
4314950790376304262, 5000, 1.0e-09, 2.0e-07, -0.01, 2, 6, 1.44215e-06, 4.0468e-07
8082938734335637588, 5000, 1.0e-09, 2.0e-07, -0.01, 5, 4, 4.2332e-07, 2.99892e-08
8172201716532621363, 5000, 1.0e-09, 2.0e-07, -0.01, 3, 8, 1.68905e-07, 9.29158e-07
1561206142047633225, 5000, 1.0e-09, 2.0e-07, -0.01, 5, 3, 2.0611e-06, 1.45474e-07
6196576733909084762, 5000, 1.0e-09, 2.0e-07, -0.01, 8, 9, 2.62688e-06, 7.77038e-07
823958256587985619, 5000, 1.0e-09, 2.0e-07, -0.01, 5, 9, 2.67714e-06, 2.24761e-07
1309065066469006614, 5000, 1.0e-09, 2.0e-07, -0.01, 8, 5, 2.49839e-06, 1.09859e-07
8293851374304086638, 5000, 1.0e-09, 1.0e-07, -0.0001, 4, 10, 3.08872e-07, 1.15033e-06
7273856564871181929, 5000, 1.0e-09, 2.0e-07, -0.01, 6, 8, 6.39024e-07, 5.99509e-07
408368344847436342, 5000, 1.0e-09, 4.0e-07, -0.0001, 7, 5, 1.36606e-06, 5.22282e-07
2438087644059606357, 5000, 1.0e-09, 4.0e-07, -0.0001, 1, 10, 3.45021e-06, 1.79536e-06
7610247661817595333, 5000, 1.0e-09, 4.0e-07, -0.0001, 4, 9, 2.0123e-06, 2.08258e-06
1632762283235127292, 5000, 1.0e-09, 4.0e-07, -0.0001, 7, 9, 2.97758e-06, 5.80657e-06
3995496583782628553, 5000, 1.0e-09, 4.0e-07, -0.0001, 4, 17, 1.14175e-06, 5.3812e-06
5281249462284556572, 5000, 1.0e-09, 4.0e-07, -0.0001, 5, 12, 1.87661e-06, 4.60851e-06
2128287952736538663, 5000, 1.0e-09, 4.0e-07, -0.0001, 2, 6, 2.19892e-08, 1.87037e-07
4730654696104057353, 5000, 1.0e-09, 4.0e-07, -0.0001, 6, 5, 7.72565e-06, 1.87809e-06
2274368488906976753, 5000, 1.0e-09, 4.0e-07, -0.0001, 2, 5, 4.59292e-08, 6.95883e-07
8866873473169356619, 5000, 1.0e-09, 1.0e-07, -0.0001, 8, 18, 1.17744e-06, 2.78704e-06
8283084358296257137, 5000, 1.0e-09, 4.0e-07, -0.0001, 6, 13, 1.63102e-06, 1.31433e-06
7395963393145668409, 5000, 1.0e-09, 4.0e-07, -0.0001, 3, 12, 2.28843e-06, 2.77751e-06
2481958341180527525, 5000, 1.0e-09, 4.0e-07, -0.0001, 4, 11, 1.47833e-06, 2.61009e-06
3022599669122049400, 5000, 1.0e-09, 4.0e-07, -0.0001, 5, 13, 2.87401e-07, 9.8112e-07
4033461508604403172, 5000, 1.0e-09, 4.0e-07, -0.0001, 3, 13, 7.75116e-07, 2.80264e-06
2753079083645739217, 5000, 1.0e-09, 4.0e-07, -0.0001, 5, 8, 5.18786e-06, 1.35494e-06
8945349524801230145, 5000, 1.0e-09, 4.0e-07, -0.0001, 4, 8, 8.17716e-08, 6.23425e-07
5666843870040130444, 5000, 1.0e-09, 4.0e-07, -0.0001, 8, 7, 1.11564e-06, 1.7148e-06
