cycle,Num_neutral,Num_sel,pi_neutral,pi_sel
1421,5,10,2.62946e-07,2.45108e-07
1431,2,6,1.98245e-07,2.3065e-07
1441,5,14,2.16128e-07,2.62689e-07
1451,5,13,3.02154e-07,2.87231e-07
1461,6,11,2.50105e-07,2.11515e-07
1471,4,14,2.20791e-07,2.19553e-07
1481,7,15,1.75409e-07,2.5149e-07
1491,7,13,2.15254e-07,3.17054e-07
1501,4,15,1.79444e-07,2.9149e-07
1511,7,14,1.67574e-07,4.2019e-07
1521,5,8,1.89453e-07,3.90107e-07
1531,6,12,1.57459e-07,4.07656e-07
1541,6,13,2.48023e-07,5.04881e-07
1551,5,11,4.03751e-07,5.01264e-07
1561,4,13,3.07369e-07,3.92508e-07
1571,4,13,2.30393e-07,4.32532e-07
1581,6,15,3.38058e-07,6.36771e-07
1591,4,15,3.79908e-07,8.05438e-07
1601,6,13,3.6133e-07,6.58106e-07
1611,6,14,4.19484e-07,6.50371e-07
1621,4,19,3.52225e-07,8.0326e-07
1631,7,18,2.86495e-07,7.85435e-07
1641,4,14,2.843e-07,8.74971e-07
1651,6,11,3.18487e-07,6.99443e-07
1661,12,14,5.39199e-07,7.35271e-07
1671,16,13,6.43043e-07,6.08836e-07
1681,13,17,3.98969e-07,5.67334e-07
1691,12,11,3.55044e-07,5.29549e-07
1701,12,13,2.63498e-07,5.90833e-07
1711,11,13,2.99173e-07,7.30941e-07
1721,10,14,4.97655e-07,7.37326e-07
1731,10,16,4.47939e-07,7.23759e-07
1741,9,13,2.95338e-07,6.5461e-07
1751,10,17,2.27465e-07,7.38316e-07
1761,12,18,2.79463e-07,6.63209e-07
1771,10,14,1.71716e-07,5.75829e-07
1781,9,13,9.587e-08,7.84068e-07
1791,8,16,1.01919e-07,7.34109e-07
1801,7,15,7.19488e-08,5.75545e-07
1811,7,17,1.15808e-07,6.49106e-07
1821,3,16,1.81204e-07,5.50148e-07
1831,3,14,1.83022e-07,4.60648e-07
1841,4,13,1.47352e-07,3.21275e-07
1851,4,14,1.59547e-07,5.69963e-07
1861,4,13,2.49037e-07,5.85269e-07
1871,4,12,3.12137e-07,5.63661e-07
1881,5,13,2.94211e-07,5.41844e-07
1891,6,11,2.94325e-07,6.98414e-07
1901,7,15,2.09151e-07,7.49718e-07
1911,7,15,2.32774e-07,8.1597e-07
1921,7,15,2.70869e-07,6.46086e-07
1931,6,10,1.35722e-07,4.76039e-07
1941,9,13,1.57672e-07,4.00753e-07
1951,8,12,1.53713e-07,4.32235e-07
1961,7,11,1.0984e-07,2.97268e-07
1971,6,14,5.596e-08,3.5085e-07
1981,7,10,7.99276e-08,3.34811e-07
1991,6,10,7.59416e-08,5.22686e-07
2001,8,13,1.21856e-07,5.5764e-07
2011,5,17,8.98548e-08,5.14571e-07
2021,5,8,8.78516e-08,4.73403e-07
2031,6,11,7.19512e-08,5.86005e-07
2041,3,12,5.19452e-08,8.03272e-07
2051,5,11,7.39068e-08,9.84276e-07
2061,3,10,9.56372e-08,8.85773e-07
2071,2,12,1.0349e-07,7.57766e-07
2081,5,13,1.41497e-07,6.14267e-07
2091,6,11,2.06666e-07,4.2003e-07
2101,5,7,1.61186e-07,3.34296e-07
2111,4,7,1.81005e-07,2.96981e-07
2121,4,10,2.20745e-07,3.19113e-07
2131,10,17,2.05107e-07,4.08597e-07
2141,4,13,1.63325e-07,4.30062e-07
2151,10,10,1.63545e-07,4.19957e-07
2161,8,11,2.19451e-07,3.84715e-07
2171,8,11,3.04604e-07,3.64725e-07
2181,10,10,4.30211e-07,4.64996e-07
2191,8,10,4.30419e-07,3.86283e-07
2201,8,15,2.90996e-07,3.44653e-07
2211,11,14,3.40553e-07,4.85234e-07
2221,7,13,3.48189e-07,4.78338e-07
2231,8,16,4.26273e-07,6.53405e-07
2241,6,15,3.63689e-07,6.32277e-07
2251,8,13,3.22436e-07,5.15862e-07
2261,9,12,3.02591e-07,5.01844e-07
2271,6,12,2.51055e-07,5.17288e-07
2281,5,12,2.03418e-07,4.71913e-07
2291,7,9,2.4719e-07,5.25323e-07
2301,10,15,2.61161e-07,5.19259e-07
2311,11,16,3.60103e-07,6.22852e-07
2321,9,15,3.56054e-07,7.10702e-07
2331,7,22,3.55936e-07,7.6168e-07
2341,10,21,4.92276e-07,8.68102e-07
2351,9,19,6.79713e-07,8.85751e-07
2361,7,16,6.24632e-07,9.42461e-07
2371,8,20,4.09801e-07,7.84133e-07
2381,9,19,3.28741e-07,9.43105e-07
2391,8,11,2.76909e-07,8.04429e-07
2401,9,15,2.63221e-07,9.18779e-07
2411,6,18,2.41139e-07,1.05261e-06
2421,5,21,2.17258e-07,1.04159e-06
2431,6,15,3.15904e-07,9.07575e-07
2441,10,14,4.14599e-07,8.06889e-07
2451,13,16,5.29102e-07,7.32815e-07
2461,11,17,6.72958e-07,7.35897e-07
2471,11,15,8.85853e-07,8.13644e-07
2481,9,15,9.75436e-07,7.44465e-07
2491,6,16,8.30553e-07,6.82367e-07
