cycle,Num_neutral,Num_sel,pi_neutral,pi_sel
1,0,1,0.0,2.0e-09
11,1,3,5.9988e-09,9.9992e-09
21,1,4,2.0e-09,1.79964e-08
31,2,1,4.0e-09,2.39736e-08
41,1,2,2.0e-09,2.39844e-08
51,1,3,2.0e-09,2.59892e-08
61,4,2,1.7994e-08,5.9996e-09
71,1,3,2.0e-09,1.39976e-08
81,1,2,2.0e-09,2.9978e-08
91,1,3,9.996e-09,2.99732e-08
101,2,1,7.9988e-09,6.57888e-08
111,1,3,7.9976e-09,5.78596e-08
121,2,2,9.9984e-09,3.99316e-08
131,2,1,9.9976e-09,7.37336e-08
141,3,5,2.59844e-08,1.23425e-07
151,3,3,5.39532e-08,1.96511e-07
161,4,5,6.79244e-08,1.1764e-07
171,3,4,5.59452e-08,1.932e-07
181,5,8,6.99472e-08,1.81319e-07
191,3,5,9.38556e-08,9.38224e-08
201,5,4,1.5156e-07,7.98688e-08
211,4,7,1.59401e-07,1.31676e-07
221,4,10,2.21236e-07,9.1924e-08
231,4,10,1.99145e-07,7.39744e-08
241,3,8,1.77345e-07,1.17827e-07
251,5,4,1.51612e-07,1.41573e-07
261,7,6,1.57444e-07,1.97379e-07
271,4,5,1.81382e-07,1.6339e-07
281,4,7,1.33562e-07,1.57135e-07
291,3,4,1.69083e-07,1.2153e-07
301,3,7,2.82413e-07,2.19037e-07
311,6,5,3.39934e-07,1.81485e-07
321,4,7,2.0519e-07,1.49738e-07
331,5,7,2.31022e-07,1.7556e-07
341,5,7,1.57451e-07,1.63391e-07
351,5,7,1.25709e-07,1.61701e-07
361,2,6,5.39276e-08,1.21835e-07
371,4,6,4.19628e-08,1.73514e-07
381,2,8,9.9984e-09,1.31758e-07
391,3,4,1.79936e-08,8.98432e-08
401,3,4,3.59712e-08,4.99492e-08
411,4,6,1.39988e-08,6.38968e-08
421,4,3,2.79864e-08,1.61386e-07
431,2,5,6.39024e-08,1.59425e-07
441,3,6,1.88431e-07,2.20842e-07
451,3,6,1.4114e-07,1.37768e-07
461,3,7,1.84433e-07,1.55593e-07
471,3,6,3.09226e-07,1.5375e-07
481,3,8,4.08986e-07,2.12355e-07
491,4,2,3.0429e-07,2.50996e-07
501,7,1,3.05256e-07,2.9553e-07
511,4,4,2.10757e-07,2.8805e-07
521,3,2,2.99847e-07,4.40009e-07
531,4,4,2.85589e-07,4.9204e-07
541,5,6,4.24123e-07,5.4213e-07
551,6,7,4.59176e-07,3.77831e-07
561,6,7,6.36351e-07,3.65342e-07
571,5,5,5.26927e-07,2.81251e-07
581,2,4,5.2211e-07,2.30137e-07
591,3,4,3.57555e-07,1.51254e-07
601,2,9,3.51698e-07,1.47544e-07
611,2,3,3.46115e-07,1.13686e-07
621,3,6,3.07526e-07,1.31668e-07
631,4,4,3.03263e-07,8.77744e-08
641,4,5,2.65767e-07,9.7784e-08
651,6,10,2.20168e-07,1.87658e-07
661,2,9,2.76218e-07,1.85608e-07
671,2,7,2.66435e-07,1.53605e-07
681,3,8,3.42449e-07,1.09867e-07
691,4,7,4.5285e-07,6.79516e-08
701,3,8,5.0992e-07,1.97422e-07
711,5,10,4.89335e-07,1.71736e-07
721,4,10,4.03413e-07,1.79759e-07
731,2,12,2.82421e-07,2.1946e-07
741,4,6,2.76638e-07,2.23364e-07
751,2,9,2.5085e-07,2.85123e-07
761,2,4,3.03468e-07,2.19221e-07
771,2,5,3.74892e-07,2.01119e-07
781,1,6,2.89707e-07,2.40545e-07
791,3,4,2.52899e-07,2.44599e-07
801,3,4,3.61625e-07,1.93102e-07
811,3,7,3.69547e-07,2.34408e-07
821,4,5,3.58835e-07,2.26581e-07
831,3,8,3.61555e-07,1.29656e-07
841,3,7,4.58429e-07,1.11838e-07
851,4,6,5.1353e-07,2.47195e-07
861,3,10,6.86807e-07,2.27349e-07
871,7,9,6.47927e-07,2.43478e-07
881,6,9,7.77787e-07,2.5933e-07
891,5,10,6.81233e-07,2.235e-07
901,4,9,6.35375e-07,2.71268e-07
911,6,8,6.45773e-07,2.93265e-07
921,5,7,7.18747e-07,2.38964e-07
931,6,5,7.85599e-07,2.3665e-07
941,6,4,7.79141e-07,2.26961e-07
951,5,6,7.15739e-07,3.7702e-07
961,3,6,6.92785e-07,4.187e-07
971,4,6,8.32523e-07,1.91501e-07
981,4,5,1.04604e-06,1.15724e-07
991,4,6,1.12937e-06,1.33622e-07
1001,2,4,1.26183e-06,1.75284e-07
1011,2,7,1.50286e-06,1.73567e-07
1021,5,7,1.5241e-06,1.87551e-07
1031,3,7,1.49987e-06,2.05509e-07
1041,2,10,1.22193e-06,1.87622e-07
1051,3,7,1.0169e-06,1.9148e-07
1061,3,9,1.15081e-06,2.29326e-07
1071,2,9,1.18465e-06,3.88029e-07
1081,3,10,1.23828e-06,4.62997e-07
1091,3,10,1.26832e-06,5.44115e-07
1101,5,8,1.33253e-06,4.86012e-07
1111,5,6,1.38162e-06,5.49957e-07
1121,4,8,1.29234e-06,5.28637e-07
1131,3,7,1.12664e-06,5.45467e-07
1141,4,9,7.80479e-07,4.4156e-07
1151,4,7,9.38167e-07,6.30973e-07
1161,3,7,8.88774e-07,5.50062e-07
1171,2,8,1.02109e-06,6.68397e-07
1181,3,9,1.06405e-06,7.70544e-07
1191,4,11,1.12794e-06,7.22361e-07
1201,4,11,1.23239e-06,8.6395e-07
