cycle,Num_neutral,Num_sel,pi_neutral,pi_sel
1,1,2,2.0e-09,4.0e-09
11,6,8,1.99984e-08,6.19508e-08
21,3,17,1.5994e-08,1.43884e-07
31,11,24,6.59636e-08,1.97856e-07
41,9,21,6.1966e-08,2.4366e-07
51,11,19,1.05925e-07,2.53584e-07
61,9,25,1.13806e-07,3.35436e-07
71,12,26,1.39896e-07,4.92943e-07
81,11,28,1.29862e-07,5.50884e-07
91,15,25,1.7378e-07,6.59947e-07
101,15,22,1.75767e-07,7.6891e-07
111,12,20,1.93603e-07,7.26896e-07
121,8,20,1.33804e-07,6.41588e-07
131,9,28,2.45271e-07,5.97607e-07
141,8,19,2.9894e-07,4.52335e-07
151,16,21,4.67536e-07,5.05832e-07
161,11,28,5.28973e-07,6.11597e-07
171,12,26,4.79353e-07,6.21539e-07
181,6,26,5.1608e-07,7.70348e-07
191,9,21,5.74341e-07,6.8295e-07
201,10,20,6.76664e-07,7.75232e-07
211,18,20,9.44588e-07,6.97394e-07
221,17,16,1.05778e-06,7.66015e-07
231,13,26,1.00193e-06,8.16682e-07
241,13,27,1.14577e-06,7.5412e-07
251,15,25,1.39419e-06,8.66447e-07
261,13,25,1.31183e-06,9.74688e-07
271,12,22,1.41292e-06,1.0498e-06
281,8,26,1.09411e-06,1.16817e-06
291,16,30,1.0838e-06,1.42871e-06
301,13,26,1.07012e-06,1.22408e-06
311,14,23,1.01337e-06,1.16039e-06
321,16,21,1.17894e-06,9.56318e-07
331,13,31,1.21141e-06,9.67133e-07
341,17,29,1.31089e-06,9.86978e-07
351,15,27,1.21851e-06,1.18611e-06
361,11,25,1.16688e-06,1.42026e-06
371,10,31,1.12625e-06,1.52391e-06
381,16,24,1.31329e-06,1.59906e-06
391,13,31,1.43903e-06,1.48791e-06
401,17,31,1.51763e-06,1.54994e-06
411,11,32,1.77019e-06,1.82693e-06
421,10,31,1.88239e-06,2.13921e-06
431,10,33,2.03477e-06,2.27227e-06
441,10,31,2.29547e-06,2.60184e-06
451,12,35,2.11215e-06,2.6441e-06
461,16,37,1.9799e-06,2.67476e-06
471,12,31,1.82422e-06,2.43006e-06
481,9,28,1.93489e-06,2.07847e-06
491,16,28,1.8859e-06,2.23224e-06
501,13,30,2.08043e-06,2.61151e-06
511,15,28,2.50734e-06,2.60455e-06
521,16,33,2.62551e-06,2.64449e-06
531,17,27,2.2476e-06,2.52482e-06
541,17,32,2.1137e-06,2.58072e-06
551,13,36,1.86228e-06,3.17486e-06
561,17,34,1.77913e-06,3.11001e-06
571,15,33,1.91297e-06,3.22282e-06
581,15,31,1.69344e-06,3.01085e-06
591,15,34,1.87052e-06,3.35436e-06
601,14,35,2.0037e-06,3.53456e-06
611,15,35,2.05037e-06,3.77824e-06
621,16,25,2.28497e-06,3.15092e-06
631,10,31,2.55176e-06,3.50743e-06
641,14,28,2.46889e-06,3.28599e-06
651,17,32,2.29424e-06,3.45698e-06
661,19,39,2.32726e-06,3.06892e-06
671,18,32,2.28979e-06,3.60859e-06
681,21,34,2.28588e-06,4.21785e-06
691,12,27,2.42311e-06,4.23386e-06
701,17,30,2.43692e-06,4.29838e-06
711,14,36,2.15886e-06,4.02415e-06
721,13,33,2.03336e-06,3.88665e-06
731,15,29,2.18049e-06,4.22203e-06
741,15,28,2.132e-06,4.2907e-06
751,14,32,2.12142e-06,4.43669e-06
761,8,30,2.17283e-06,4.43793e-06
771,12,31,2.27701e-06,4.21924e-06
781,11,37,2.17317e-06,4.16339e-06
791,12,32,2.2709e-06,4.49286e-06
801,9,27,2.33418e-06,4.54962e-06
811,14,26,2.09308e-06,4.54036e-06
821,16,24,2.23473e-06,4.35393e-06
831,17,31,2.29212e-06,4.57889e-06
841,16,29,2.03695e-06,4.37451e-06
851,20,31,2.30691e-06,4.22407e-06
861,24,25,2.2743e-06,4.07871e-06
871,17,29,2.06841e-06,4.32271e-06
