cycle,Num_neutral,Num_sel,pi_neutral,pi_sel
1,0,2,0.0,4.0e-09
11,3,9,6.0e-09,3.19948e-08
21,3,10,9.9988e-09,6.7954e-08
31,6,12,5.39624e-08,4.99904e-08
41,5,11,4.99732e-08,7.19376e-08
51,6,14,4.99748e-08,9.1952e-08
61,7,13,8.39484e-08,1.83693e-07
71,9,14,8.19216e-08,2.21537e-07
81,7,12,9.38896e-08,2.55047e-07
91,8,14,1.53643e-07,3.54359e-07
101,5,20,2.29266e-07,4.99978e-07
111,9,17,2.39504e-07,5.44979e-07
121,10,19,1.47777e-07,7.55702e-07
131,7,23,6.194e-08,7.30795e-07
141,9,26,9.9822e-08,1.00267e-06
151,3,20,8.18392e-08,7.62448e-07
161,8,21,7.98832e-08,8.20316e-07
171,4,17,2.39936e-08,7.18714e-07
181,7,20,3.99856e-08,8.67087e-07
191,5,25,2.99864e-08,1.07048e-06
201,7,25,7.39112e-08,9.78239e-07
211,9,27,1.09887e-07,1.09266e-06
221,7,16,1.33665e-07,1.07101e-06
231,9,14,1.87606e-07,8.91754e-07
241,10,13,2.27608e-07,1.07434e-06
251,13,18,2.59484e-07,1.08955e-06
261,12,20,2.49555e-07,9.24579e-07
271,13,14,3.88916e-07,1.03865e-06
281,12,20,4.69834e-07,1.13616e-06
291,11,18,3.4276e-07,1.36286e-06
301,13,23,3.81929e-07,1.18906e-06
311,9,22,3.40091e-07,1.22701e-06
321,9,20,4.13589e-07,1.06263e-06
331,8,21,3.7623e-07,1.20966e-06
341,12,22,2.65247e-07,1.44188e-06
351,11,21,1.5183e-07,1.38169e-06
361,16,24,1.75829e-07,1.47688e-06
371,13,21,2.23671e-07,1.19244e-06
381,20,21,1.6789e-07,1.18121e-06
391,14,19,1.0194e-07,1.26839e-06
401,6,15,7.39492e-08,1.30482e-06
411,7,24,7.7886e-08,1.41214e-06
421,9,25,1.45682e-07,1.65788e-06
431,11,24,1.09886e-07,1.50265e-06
441,6,21,1.25539e-07,1.56644e-06
451,13,19,1.69732e-07,1.64763e-06
461,12,24,1.2386e-07,1.52554e-06
471,9,27,1.55776e-07,1.61321e-06
481,11,32,1.29836e-07,1.79986e-06
491,5,23,1.8933e-07,1.92319e-06
501,8,21,1.77566e-07,2.27578e-06
511,10,23,1.59666e-07,2.41213e-06
521,7,23,1.29788e-07,2.53956e-06
531,9,28,1.1586e-07,2.48513e-06
541,10,26,1.19899e-07,2.60385e-06
551,12,26,1.3185e-07,2.3936e-06
561,8,20,1.73706e-07,2.20265e-06
571,11,27,2.13634e-07,2.15667e-06
581,10,23,2.1165e-07,2.25551e-06
591,8,23,3.42578e-07,2.04577e-06
601,12,22,2.6534e-07,2.14275e-06
611,9,20,3.24778e-07,2.53033e-06
621,7,26,1.77626e-07,2.29516e-06
631,9,28,1.15749e-07,2.42065e-06
641,9,26,1.47784e-07,2.63709e-06
651,7,25,1.91206e-07,2.41401e-06
661,2,27,1.33564e-07,2.70933e-06
671,2,25,1.33552e-07,2.58927e-06
681,7,25,1.53373e-07,3.1085e-06
691,10,25,3.20365e-07,2.78714e-06
701,9,27,3.56408e-07,2.64806e-06
711,13,23,3.65924e-07,2.45969e-06
721,10,29,3.79639e-07,2.34018e-06
731,12,30,3.95842e-07,2.16886e-06
741,9,30,5.02723e-07,2.35532e-06
751,11,30,6.18887e-07,2.01656e-06
761,14,28,7.83093e-07,2.00485e-06
771,13,24,6.18546e-07,2.13878e-06
781,11,27,7.64952e-07,1.77896e-06
791,14,24,9.62953e-07,1.54046e-06
801,10,20,7.37e-07,1.75984e-06
811,11,20,8.63553e-07,1.67688e-06
821,9,20,7.4638e-07,1.99127e-06
831,11,25,8.18052e-07,1.86693e-06
841,12,26,8.26341e-07,2.24997e-06
851,11,32,8.63586e-07,2.17954e-06
861,10,24,1.09188e-06,2.04388e-06
871,11,19,8.40619e-07,2.30342e-06
881,11,21,6.20449e-07,2.23699e-06
891,16,17,6.55229e-07,2.03526e-06
901,8,20,8.29012e-07,2.29561e-06
911,8,25,1.03106e-06,2.33518e-06
921,11,19,1.24964e-06,2.07018e-06
931,11,18,1.30799e-06,2.19636e-06
941,8,20,1.2996e-06,1.94376e-06
951,7,16,9.61893e-07,2.01171e-06
961,8,16,8.70106e-07,1.85847e-06
971,12,16,8.21048e-07,1.71362e-06
981,9,10,6.69747e-07,1.64978e-06
991,11,14,7.35872e-07,1.663e-06
1001,10,14,6.55206e-07,1.55351e-06
1011,7,15,7.32915e-07,1.64868e-06
1021,4,15,6.50522e-07,1.67095e-06
1031,3,20,6.55863e-07,1.67744e-06
1041,4,22,7.17483e-07,1.67539e-06
1051,6,19,6.45985e-07,1.78013e-06
1061,6,21,7.52712e-07,1.68736e-06
1071,8,22,7.99864e-07,1.65471e-06
1081,10,25,7.79323e-07,1.56207e-06
1091,10,18,7.79417e-07,1.45154e-06
1101,5,21,6.46491e-07,1.2177e-06
1111,5,22,6.35287e-07,1.15231e-06
1121,8,28,7.20899e-07,1.10383e-06
1131,8,23,7.4098e-07,8.72887e-07
1141,6,21,6.40496e-07,8.64186e-07
1151,9,20,6.30825e-07,1.19507e-06
1161,10,23,5.90552e-07,1.25366e-06
1171,9,23,5.81775e-07,1.13676e-06
1181,10,20,6.21681e-07,1.26677e-06
1191,12,25,6.84173e-07,1.32171e-06
1201,10,25,6.92988e-07,1.54989e-06
1211,9,23,6.76759e-07,1.79997e-06
1221,4,30,6.92625e-07,2.3827e-06
1231,7,22,6.14467e-07,2.0312e-06
1241,6,26,7.30175e-07,2.14131e-06
1251,8,29,7.45955e-07,1.89344e-06
1261,10,30,7.58954e-07,1.84552e-06
1271,11,24,7.93242e-07,2.2282e-06
1281,13,27,9.12128e-07,2.17791e-06
1291,11,24,1.30035e-06,2.20898e-06
1301,10,23,1.32921e-06,1.99831e-06
1311,14,21,1.33663e-06,2.40008e-06
1321,12,23,1.0947e-06,2.11436e-06
1331,10,28,9.95178e-07,2.11066e-06
1341,9,23,8.76243e-07,2.41569e-06
1351,11,29,9.3544e-07,2.60133e-06
1361,8,28,8.39982e-07,2.80467e-06
1371,12,28,8.76768e-07,2.64747e-06
1381,10,30,1.00753e-06,2.72241e-06
1391,11,32,1.21308e-06,2.7961e-06
1401,11,30,1.39954e-06,2.79243e-06
1411,15,35,1.28412e-06,2.9703e-06
1421,11,34,1.29767e-06,2.55733e-06
1431,10,33,1.43191e-06,2.12673e-06
1441,12,28,1.36374e-06,2.39903e-06
1451,11,31,1.38264e-06,2.14673e-06
1461,14,26,1.21501e-06,2.33348e-06
1471,14,22,1.19541e-06,2.54678e-06
1481,15,30,9.41641e-07,2.60104e-06
1491,15,35,8.21691e-07,2.4115e-06
1501,15,24,9.3194e-07,2.67821e-06
1511,17,25,1.07427e-06,2.67265e-06
1521,18,25,1.00674e-06,2.88422e-06
1531,15,28,8.73068e-07,2.49597e-06
1541,15,27,7.36994e-07,2.48453e-06
1551,14,21,7.12941e-07,2.69834e-06
1561,14,23,7.42904e-07,2.57742e-06
1571,13,22,7.91529e-07,2.63581e-06
1581,16,25,7.37549e-07,2.71993e-06
1591,17,25,7.78843e-07,3.07676e-06
1601,13,30,9.47485e-07,3.37863e-06
1611,15,25,1.06504e-06,3.47797e-06
1621,15,25,1.0531e-06,3.62475e-06
1631,15,28,7.88802e-07,3.70115e-06
1641,17,24,7.8233e-07,3.68964e-06
1651,13,22,7.46241e-07,3.72095e-06
1661,11,29,6.95201e-07,3.97034e-06
1671,15,28,5.25099e-07,4.17222e-06
1681,11,29,3.78475e-07,4.23078e-06
1691,9,25,3.48656e-07,4.48508e-06
1701,8,27,3.96393e-07,4.66355e-06
1711,11,31,3.9062e-07,4.8121e-06
1721,12,31,3.86747e-07,4.8155e-06
1731,9,31,3.46475e-07,4.69041e-06
1741,15,36,3.74818e-07,4.78249e-06
1751,10,37,4.53781e-07,4.90092e-06
1761,17,34,4.46551e-07,5.35323e-06
1771,11,40,5.51723e-07,5.2361e-06
1781,11,31,5.31237e-07,4.66209e-06
1791,15,33,5.31917e-07,4.7994e-06
1801,10,29,5.80862e-07,4.68045e-06
1811,14,30,5.27277e-07,4.9367e-06
1821,10,38,6.43704e-07,5.10593e-06
1831,14,32,8.29861e-07,5.57547e-06
1841,9,35,9.73265e-07,5.57624e-06
1851,9,35,1.24106e-06,5.98763e-06
1861,9,28,1.26041e-06,6.09471e-06
1871,9,24,1.29033e-06,5.81135e-06
1881,7,24,1.40395e-06,5.97779e-06
1891,12,29,1.55955e-06,5.42875e-06
1901,9,30,1.907e-06,5.37088e-06
1911,7,21,1.9483e-06,5.0224e-06
1921,10,19,2.06944e-06,5.06912e-06
1931,11,23,2.03922e-06,4.75919e-06
1941,9,24,2.24624e-06,5.0595e-06
1951,10,19,2.46036e-06,5.18398e-06
1961,15,24,2.40534e-06,4.84614e-06
1971,13,27,2.51164e-06,4.58064e-06
1981,9,26,2.56688e-06,4.83219e-06
1991,12,25,2.69088e-06,4.65406e-06
2001,12,21,2.89962e-06,4.68597e-06
2011,10,23,3.2294e-06,4.61091e-06
2021,12,24,3.30082e-06,4.59181e-06
2031,12,29,3.61936e-06,4.9863e-06
2041,11,31,3.40245e-06,4.82546e-06
2051,13,21,3.29493e-06,4.72742e-06
2061,14,24,3.48159e-06,4.56556e-06
2071,12,22,3.41838e-06,4.63293e-06
2081,15,24,3.49215e-06,4.29521e-06
2091,16,28,3.42916e-06,4.31449e-06
2101,15,26,3.80686e-06,4.74398e-06
2111,16,27,3.39417e-06,4.54555e-06
2121,16,29,3.53029e-06,4.20771e-06
