Seed, N, MU, RHO, S, Num_neutral, Num_sel, pi_neutral, pi_sel
6027404515628759812, 5000, 3.0e-09, 6.0e-07, -0.0001, 21, 25, 4.2861e-06, 8.35706e-06
2518056829384680651, 5000, 1.0e-09, 2.0e-07, -0.0001, 2, 6, 4.87191e-07, 3.99969e-06
4500709207543622242, 5000, 3.0e-09, 6.0e-07, -0.0001, 17, 27, 8.04103e-06, 1.03878e-05
4011253582701516432, 5000, 3.0e-09, 6.0e-07, -0.0001, 12, 27, 2.19132e-06, 5.73122e-06
3597595122509940553, 5000, 3.0e-09, 6.0e-07, -0.0001, 7, 26, 1.66221e-06, 8.18409e-06
7475519056532098240, 5000, 3.0e-09, 6.0e-07, -0.0001, 16, 27, 1.7317e-05, 9.01049e-06
3720414643911066684, 5000, 3.0e-09, 6.0e-07, -0.0001, 8, 33, 2.98329e-06, 4.79368e-06
895711430657049628, 5000, 3.0e-09, 6.0e-07, -0.0001, 11, 32, 7.38526e-06, 1.18862e-05
9044302227328758549, 5000, 3.0e-09, 6.0e-07, -0.0001, 8, 23, 4.27223e-06, 7.80172e-06
7547053845722429830, 5000, 3.0e-09, 6.0e-07, -0.0001, 16, 28, 1.90791e-06, 8.46372e-06
1853121858261463547, 5000, 3.0e-09, 6.0e-07, -0.0001, 14, 35, 4.38453e-06, 8.56071e-06
8214423652420467852, 5000, 3.0e-09, 6.0e-07, -0.0001, 21, 34, 9.87729e-06, 6.97796e-06
5531169447354786898, 5000, 1.0e-09, 2.0e-07, -0.0001, 10, 10, 4.63999e-06, 1.94745e-06
6063073250270613451, 5000, 3.0e-09, 6.0e-07, -0.0001, 16, 39, 2.08539e-06, 1.78336e-05
9163025506376782798, 5000, 3.0e-09, 6.0e-07, -0.0001, 13, 17, 7.14082e-06, 1.16493e-05
7094757798294548171, 5000, 3.0e-09, 6.0e-07, -0.0001, 17, 23, 7.45457e-06, 6.40246e-06
1193084128050174061, 5000, 3.0e-09, 6.0e-07, -0.0001, 11, 23, 9.11584e-07, 3.61381e-06
4194275856572321827, 5000, 3.0e-09, 6.0e-07, -0.0001, 14, 31, 6.3812e-06, 6.50205e-06
973467649341830596, 5000, 3.0e-09, 6.0e-07, -0.0001, 18, 29, 6.32837e-06, 8.06058e-06
2723312279509386243, 5000, 3.0e-09, 6.0e-07, -0.0001, 18, 30, 2.24049e-06, 7.2759e-06
6470921216940949805, 5000, 3.0e-09, 6.0e-07, -0.0001, 17, 35, 7.96927e-06, 9.12944e-06
