cycle,Num_neutral,Num_sel,pi_neutral,pi_sel
1,0,1,0.0,2.0e-09
11,1,11,9.996e-09,3.99944e-08
21,7,10,4.19836e-08,5.39844e-08
31,10,18,9.7948e-08,9.39596e-08
41,13,14,1.2987e-07,9.5954e-08
51,9,9,2.15569e-07,9.39092e-08
61,7,15,1.45696e-07,1.91766e-07
71,10,12,2.2705e-07,1.03887e-07
81,10,10,4.24931e-07,6.59676e-08
91,9,12,3.555e-07,1.07924e-07
101,15,12,3.46159e-07,1.19891e-07
111,14,12,3.61731e-07,1.75759e-07
121,5,23,3.15809e-07,2.3379e-07
131,7,20,2.92803e-07,3.31356e-07
141,7,18,3.32837e-07,2.7953e-07
151,14,13,4.72868e-07,3.48566e-07
161,11,13,3.66202e-07,4.05738e-07
171,11,15,3.18707e-07,4.36018e-07
181,9,20,2.91034e-07,4.38817e-07
191,12,18,3.26625e-07,4.4314e-07
201,13,19,2.94951e-07,4.49026e-07
211,10,20,3.45061e-07,5.56351e-07
221,12,20,3.84899e-07,6.65564e-07
231,8,13,3.17939e-07,7.2306e-07
241,10,18,4.76211e-07,8.41152e-07
251,10,19,4.84208e-07,9.70443e-07
261,6,23,4.1963e-07,9.59195e-07
271,7,20,3.73184e-07,9.36395e-07
281,5,17,2.89235e-07,1.14419e-06
291,6,20,3.09835e-07,1.25769e-06
301,5,17,2.36945e-07,1.35048e-06
311,9,20,1.35777e-07,1.06004e-06
321,10,23,1.13874e-07,1.15893e-06
331,8,22,1.35702e-07,1.0079e-06
341,6,22,3.99712e-08,1.16235e-06
351,7,20,7.79388e-08,1.11346e-06
361,10,20,1.57626e-07,1.29971e-06
371,9,23,9.79096e-08,1.30217e-06
381,10,28,1.83697e-07,1.41715e-06
391,8,26,1.41804e-07,1.56965e-06
401,7,25,1.5775e-07,1.67427e-06
411,7,28,1.31773e-07,1.46913e-06
421,8,28,1.87519e-07,1.56682e-06
431,6,24,2.39365e-07,1.40543e-06
441,9,27,2.39394e-07,1.32514e-06
451,9,30,2.1164e-07,1.07838e-06
461,9,27,2.01664e-07,1.17786e-06
471,10,28,1.81636e-07,1.12953e-06
481,6,27,1.31748e-07,9.411e-07
491,3,23,1.65411e-07,9.75536e-07
501,5,28,1.1168e-07,9.5352e-07
511,9,23,1.85366e-07,1.07026e-06
521,12,26,2.19406e-07,9.85816e-07
531,8,16,2.17201e-07,9.19124e-07
541,5,21,2.09207e-07,8.90851e-07
551,5,24,2.549e-07,8.72237e-07
561,11,20,2.62714e-07,9.29118e-07
571,10,21,1.85631e-07,9.85107e-07
581,9,17,2.84605e-07,1.00743e-06
591,8,20,4.73876e-07,8.79441e-07
601,8,14,4.00173e-07,1.13927e-06
611,13,16,4.18588e-07,1.08534e-06
621,16,15,3.41129e-07,1.25087e-06
631,9,19,3.64376e-07,1.40915e-06
641,10,17,2.83096e-07,1.36888e-06
651,11,18,3.49138e-07,1.17043e-06
661,11,18,5.05701e-07,1.03902e-06
671,8,15,5.78559e-07,8.85438e-07
681,11,17,8.41895e-07,7.96976e-07
691,11,17,7.23078e-07,8.50492e-07
701,12,18,6.98733e-07,1.0904e-06
711,13,20,8.28255e-07,1.36306e-06
721,18,20,9.13759e-07,1.40094e-06
