cycle,Num_neutral,Num_sel,pi_neutral,pi_sel
1,0,0,0.0,0.0
11,1,2,7.9976e-09,4.0e-09
21,6,1,5.39412e-08,7.9976e-09
31,4,2,1.03803e-07,4.0e-09
41,4,0,1.9742e-07,0.0
51,7,1,2.4719e-07,2.0e-09
61,8,4,2.8699e-07,2.3994e-08
71,8,1,3.24723e-07,2.0e-09
81,7,2,2.63168e-07,4.0e-09
91,7,2,2.21344e-07,1.59948e-08
101,8,6,2.07349e-07,6.79228e-08
111,8,3,1.91381e-07,7.38616e-08
121,9,3,1.99292e-07,9.57444e-08
131,6,5,1.73339e-07,7.59064e-08
141,6,5,2.13115e-07,9.37704e-08
151,6,10,9.78564e-08,1.01777e-07
161,5,7,1.01867e-07,1.31631e-07
171,7,6,1.45765e-07,1.15801e-07
181,7,10,2.01372e-07,1.71638e-07
191,7,7,1.75557e-07,2.37443e-07
201,8,11,1.75749e-07,1.69703e-07
211,8,8,1.85697e-07,1.4975e-07
221,9,7,1.03919e-07,8.39144e-08
231,8,9,1.49754e-07,1.49756e-07
241,7,5,1.79642e-07,1.6726e-07
251,6,4,1.43628e-07,1.92395e-07
261,5,7,1.45646e-07,1.76989e-07
271,8,5,2.45313e-07,1.11546e-07
281,10,5,1.45767e-07,6.39164e-08
291,9,2,1.99549e-07,2.199e-08
301,7,5,1.5776e-07,5.39468e-08
311,5,4,1.03752e-07,4.39504e-08
321,8,1,9.7812e-08,1.59888e-08
331,7,3,1.91524e-07,5.388e-08
341,5,3,1.31662e-07,4.39312e-08
351,4,4,2.05144e-07,1.59972e-08
361,6,4,2.66235e-07,1.19992e-08
371,3,4,2.34695e-07,2.19928e-08
381,3,3,3.0404e-07,2.59816e-08
391,3,3,1.81189e-07,9.9988e-09
401,3,4,1.75148e-07,3.79672e-08
411,5,3,1.69149e-07,3.3958e-08
421,3,3,1.61156e-07,2.99852e-08
431,4,4,7.38508e-08,6.58572e-08
441,1,5,2.39736e-08,9.982e-08
451,3,7,5.39552e-08,7.19216e-08
461,2,8,2.39876e-08,4.7978e-08
471,3,9,1.3998e-08,9.38788e-08
481,2,7,1.59952e-08,3.79916e-08
491,2,3,1.19972e-08,2.39876e-08
501,3,4,6.7884e-08,8.0e-09
511,3,3,6.18484e-08,2.99852e-08
521,2,4,8.3742e-08,4.99508e-08
531,1,4,5.187e-08,4.9954e-08
541,2,3,6.58808e-08,4.19576e-08
551,2,3,1.15656e-07,3.39632e-08
561,3,3,1.31578e-07,3.59672e-08
571,3,6,1.1962e-07,3.7984e-08
581,4,6,1.73059e-07,5.79456e-08
591,3,7,1.78749e-07,5.59576e-08
601,2,5,1.57296e-07,7.58424e-08
611,7,6,1.31693e-07,1.09692e-07
621,5,2,1.57474e-07,1.29422e-07
631,6,3,1.61519e-07,1.47033e-07
641,9,2,2.72819e-07,2.0224e-07
651,7,3,2.23131e-07,2.94672e-07
661,6,4,2.54893e-07,1.70793e-07
671,8,2,2.3451e-07,7.97036e-08
681,5,2,2.86041e-07,7.77468e-08
