cycle,Num_neutral,Num_sel,pi_neutral,pi_sel
1,1,0,2.0e-09,0.0
11,2,9,9.9976e-09,9.79136e-08
21,3,19,2.39892e-08,2.19734e-07
31,2,18,4.39304e-08,2.69422e-07
41,7,16,4.79568e-08,2.83206e-07
51,7,16,4.99792e-08,2.33621e-07
61,6,19,2.5996e-08,2.09787e-07
71,6,18,4.79812e-08,3.31545e-07
81,13,17,1.65738e-07,3.39414e-07
91,13,21,2.25581e-07,2.83578e-07
101,14,21,3.07382e-07,3.2556e-07
111,16,23,4.72573e-07,2.85662e-07
121,20,18,4.66923e-07,4.01291e-07
131,19,20,5.46452e-07,3.73229e-07
141,18,19,5.79929e-07,5.72063e-07
151,15,18,5.83768e-07,5.66132e-07
161,16,24,5.56034e-07,4.5646e-07
171,16,19,5.30334e-07,3.94926e-07
181,14,22,7.47894e-07,5.91757e-07
191,15,25,7.08975e-07,6.09851e-07
201,16,27,8.21049e-07,7.95043e-07
211,17,30,9.40259e-07,9.17568e-07
221,16,28,7.87509e-07,9.15279e-07
231,12,25,6.95171e-07,9.07762e-07
241,9,26,6.94665e-07,9.50821e-07
251,14,22,6.8089e-07,8.73715e-07
261,12,18,6.30779e-07,6.79318e-07
271,14,22,8.5284e-07,7.81988e-07
281,12,19,6.07727e-07,7.54406e-07
291,15,18,5.79198e-07,8.03251e-07
301,12,19,7.39669e-07,8.25076e-07
311,14,24,7.79417e-07,9.21987e-07
321,12,19,8.49141e-07,8.84297e-07
331,12,28,8.84898e-07,8.44584e-07
341,12,30,8.44677e-07,8.64333e-07
351,14,27,8.11267e-07,9.67923e-07
361,11,27,9.1111e-07,1.03886e-06
371,14,21,9.7341e-07,8.13067e-07
381,19,19,9.72814e-07,8.39981e-07
391,13,15,9.70035e-07,8.15951e-07
401,12,24,1.11562e-06,1.03298e-06
411,9,30,8.79242e-07,1.11388e-06
421,8,31,8.48529e-07,1.27952e-06
431,10,21,1.15392e-06,1.24955e-06
441,16,22,1.38436e-06,1.31908e-06
