cycle,Num_neutral,Num_sel,pi_neutral,pi_sel
1,0,0,0.0,0.0
11,1,5,7.9976e-09,1.19996e-08
21,1,1,5.9988e-09,5.9988e-09
31,3,2,2.19884e-08,4.79148e-08
41,2,3,6.97756e-08,1.39418e-07
51,2,4,4.59076e-08,1.65091e-07
61,1,3,2.39736e-08,2.20427e-07
71,0,5,0.0,2.49543e-07
81,2,10,4.0e-09,4.11318e-07
91,1,7,1.39916e-08,2.94922e-07
101,4,8,1.79956e-08,4.64227e-07
111,4,6,2.9988e-08,4.89483e-07
121,1,7,5.9988e-09,5.12486e-07
131,2,6,1.79928e-08,5.36891e-07
141,1,4,7.9976e-09,7.43633e-07
151,2,6,4.0e-09,8.21749e-07
161,1,5,9.996e-09,8.94198e-07
171,3,9,6.0e-09,9.32909e-07
181,3,10,2.5978e-08,7.71014e-07
191,1,3,6.57888e-08,7.05021e-07
201,2,4,1.0547e-07,7.41298e-07
211,3,9,9.16548e-08,7.16893e-07
221,4,8,1.31291e-07,7.35859e-07
231,3,7,1.07528e-07,8.22693e-07
241,2,9,1.5286e-07,1.2066e-06
251,1,10,2.56646e-07,1.36325e-06
261,4,11,2.27917e-07,1.20982e-06
271,3,8,2.24159e-07,1.16566e-06
281,4,8,3.74912e-07,1.25585e-06
291,6,6,5.1406e-07,1.28167e-06
301,4,6,3.78734e-07,1.45186e-06
311,5,4,2.32371e-07,1.438e-06
321,4,8,2.26497e-07,1.32645e-06
331,4,6,1.69379e-07,1.45687e-06
341,3,8,1.35608e-07,1.4807e-06
351,6,8,8.58844e-08,1.53219e-06
361,5,10,1.05862e-07,1.85373e-06
371,4,10,9.3784e-08,1.85885e-06
381,4,8,4.397e-08,1.83892e-06
391,2,9,9.9976e-09,1.69083e-06
401,1,8,9.996e-09,1.90346e-06
411,0,9,0.0,2.07598e-06
421,1,8,2.0e-09,2.25151e-06
431,4,11,2.79872e-08,2.42937e-06
441,4,12,5.99096e-08,2.79258e-06
451,4,13,7.78264e-08,2.67954e-06
461,3,13,9.38084e-08,2.51291e-06
471,5,10,1.57602e-07,2.68741e-06
481,3,7,1.35456e-07,2.63746e-06
491,1,8,4.988e-08,2.53567e-06
501,1,5,5.9988e-09,2.81587e-06
511,0,9,0.0,2.81408e-06
521,5,9,2.39956e-08,2.82238e-06
531,6,11,5.3968e-08,2.77497e-06
541,1,8,5.9988e-09,2.74304e-06
551,1,14,1.1994e-08,2.98105e-06
561,2,12,7.9988e-09,2.84079e-06
571,2,13,4.0e-09,2.74218e-06
581,1,7,9.996e-09,2.8661e-06
591,4,10,3.398e-08,3.05872e-06
601,2,14,7.9988e-09,3.40468e-06
611,2,10,2.19876e-08,3.14397e-06
621,4,11,1.9996e-08,3.46208e-06
631,2,13,1.99856e-08,3.60053e-06
641,3,13,1.59972e-08,3.69293e-06
651,1,13,3.9996e-09,3.79683e-06
661,2,17,1.19976e-08,3.91989e-06
671,0,14,0.0,3.99397e-06
681,1,15,2.0e-09,3.74548e-06
691,1,9,5.9988e-09,3.6532e-06
701,1,11,3.9996e-09,3.39933e-06
711,1,9,3.9996e-09,3.11779e-06
721,1,8,3.9996e-09,3.1358e-06
731,2,11,7.9988e-09,3.07903e-06
741,5,11,1.59976e-08,3.26585e-06
751,0,15,0.0,3.60226e-06
761,4,19,1.59972e-08,3.50735e-06
771,4,16,3.99568e-08,3.23086e-06
781,4,15,1.15506e-07,3.61238e-06
791,1,9,1.37062e-07,3.46529e-06
801,3,12,1.13521e-07,3.42129e-06
811,2,7,9.96816e-08,3.33351e-06
821,3,7,1.57278e-07,3.45968e-06
831,3,7,8.5822e-08,3.41798e-06
841,2,9,8.58212e-08,3.61326e-06
851,4,11,1.33632e-07,3.7783e-06
861,5,11,1.05772e-07,3.76411e-06
871,2,14,1.23498e-07,3.88475e-06
881,4,11,8.973e-08,3.58197e-06
891,3,11,5.79096e-08,3.52654e-06
901,3,11,6.59312e-08,3.44535e-06
911,4,9,1.19768e-07,3.37611e-06
921,5,9,1.61648e-07,3.46558e-06
931,5,10,2.25007e-07,3.66115e-06
941,7,9,3.83376e-07,4.23701e-06
951,8,9,3.94419e-07,4.18386e-06
961,4,8,5.13375e-07,4.80439e-06
971,5,8,5.5087e-07,4.85249e-06
981,3,7,4.13503e-07,4.82303e-06
991,2,11,4.91776e-07,4.81522e-06
1001,3,10,6.04988e-07,4.572e-06
1011,3,11,7.788e-07,4.58211e-06
1021,4,11,7.72353e-07,4.48458e-06
1031,5,12,8.43298e-07,4.6175e-06
1041,3,10,8.29905e-07,4.56177e-06
1051,3,10,8.59106e-07,4.70138e-06
1061,6,10,8.56752e-07,4.87578e-06
1071,7,12,8.23564e-07,5.37071e-06
1081,7,14,1.06446e-06,5.60988e-06
1091,7,11,1.06809e-06,5.33067e-06
1101,4,11,9.0066e-07,5.59917e-06
1111,4,15,1.02888e-06,5.83828e-06
1121,8,14,9.97738e-07,6.25565e-06
1131,4,17,8.88904e-07,6.44688e-06
1141,3,13,8.35542e-07,6.53542e-06
1151,4,12,1.00654e-06,6.53385e-06
1161,5,12,9.67985e-07,6.75213e-06
1171,5,14,9.66488e-07,7.45079e-06
1181,3,13,7.01756e-07,7.6564e-06
1191,3,14,8.2014e-07,7.78788e-06
1201,4,15,6.29456e-07,7.85365e-06
1211,5,15,7.8728e-07,7.47768e-06
1221,4,14,4.82741e-07,7.63234e-06
1231,5,15,4.22782e-07,8.30534e-06
1241,6,15,4.31299e-07,8.57126e-06
1251,6,15,5.03809e-07,8.65874e-06
1261,6,12,5.28002e-07,8.34954e-06
1271,7,12,4.69687e-07,8.36385e-06
1281,9,15,3.88393e-07,8.495e-06
1291,7,16,3.04755e-07,8.30464e-06
1301,7,14,3.61039e-07,8.2867e-06
1311,8,15,3.94969e-07,8.22996e-06
1321,8,14,3.91231e-07,8.68208e-06
1331,6,15,4.95414e-07,8.26924e-06
1341,7,14,6.24436e-07,8.11133e-06
1351,6,13,7.6265e-07,8.00451e-06
1361,9,15,6.54189e-07,8.33192e-06
1371,8,14,9.2281e-07,8.73086e-06
1381,9,15,9.55147e-07,8.31431e-06
1391,10,16,9.91892e-07,8.56057e-06
1401,10,16,9.43082e-07,9.01542e-06
1411,8,15,9.33689e-07,9.48478e-06
1421,7,19,1.12155e-06,9.58381e-06
1431,6,14,9.55412e-07,9.50148e-06
1441,7,15,1.10402e-06,9.63909e-06
1451,7,15,9.58647e-07,9.78924e-06
1461,8,13,1.02721e-06,9.5161e-06
1471,8,17,1.25513e-06,9.64642e-06
1481,6,13,1.1495e-06,9.55241e-06
1491,5,14,1.23101e-06,9.71842e-06
1501,6,14,1.22463e-06,9.67792e-06
1511,6,13,1.50341e-06,1.00214e-05
1521,7,18,1.67038e-06,1.03824e-05
1531,6,19,1.63321e-06,1.04164e-05
1541,9,14,1.34021e-06,1.05159e-05
1551,9,13,1.47529e-06,1.00711e-05
1561,7,10,1.29892e-06,1.01921e-05
1571,6,10,1.26099e-06,1.00025e-05
1581,6,11,1.39769e-06,9.80819e-06
1591,6,14,1.37226e-06,9.67219e-06
1601,5,10,1.51722e-06,9.74724e-06
1611,6,9,1.31965e-06,1.01555e-05
1621,10,12,1.31074e-06,1.02732e-05
1631,8,11,1.40101e-06,1.00073e-05
1641,6,11,1.51632e-06,1.02226e-05
1651,4,12,1.54868e-06,1.02499e-05
1661,5,12,1.45171e-06,1.04433e-05
1671,5,12,1.48553e-06,1.05727e-05
1681,7,10,1.2029e-06,1.06573e-05
1691,4,12,1.24522e-06,1.07789e-05
1701,5,12,1.22197e-06,1.05061e-05
1711,4,13,1.26767e-06,1.05788e-05
1721,4,12,1.41113e-06,1.05224e-05
1731,3,12,1.32194e-06,1.08205e-05
1741,3,13,1.79088e-06,1.06161e-05
1751,5,13,2.27242e-06,1.02444e-05
1761,6,13,1.98125e-06,1.06584e-05
1771,6,11,2.14311e-06,1.03798e-05
1781,3,12,2.34634e-06,1.03464e-05
1791,5,12,2.18459e-06,1.07718e-05
1801,6,14,2.09954e-06,1.09457e-05
1811,5,14,2.10506e-06,1.12772e-05
1821,6,12,1.97405e-06,1.09066e-05
1831,6,10,1.8598e-06,1.06787e-05
1841,5,10,1.83465e-06,1.02746e-05
1851,5,10,1.82404e-06,1.03542e-05
1861,4,11,1.52093e-06,1.01863e-05
1871,3,10,1.43117e-06,1.06651e-05
1881,6,10,1.14721e-06,1.0671e-05
1891,8,10,1.14885e-06,1.10302e-05
1901,7,9,1.20695e-06,1.10661e-05
1911,3,9,1.20724e-06,1.11984e-05
1921,3,9,1.61712e-06,1.12392e-05
1931,4,12,1.61532e-06,1.12767e-05
1941,4,11,1.59662e-06,1.13655e-05
1951,3,9,1.61459e-06,1.13557e-05
1961,5,9,1.73918e-06,1.12461e-05
1971,3,10,1.90306e-06,1.13395e-05
1981,4,9,1.89104e-06,1.11227e-05
1991,5,8,1.75326e-06,1.12316e-05
2001,5,10,1.73825e-06,1.13375e-05
2011,6,8,1.5535e-06,1.10969e-05
2021,6,7,1.37349e-06,1.07603e-05
2031,7,6,1.24007e-06,1.05824e-05
2041,9,6,1.36484e-06,1.05768e-05
2051,5,9,1.39698e-06,1.05112e-05
2061,8,10,1.38447e-06,1.04842e-05
2071,7,11,1.31073e-06,1.06519e-05
2081,6,13,1.17512e-06,1.09081e-05
2091,4,14,9.48555e-07,1.11346e-05
2101,4,12,8.36081e-07,1.12112e-05
2111,3,14,1.00267e-06,1.11645e-05
2121,6,9,9.45418e-07,1.10141e-05
2131,5,10,9.91959e-07,1.12524e-05
2141,6,9,1.24612e-06,1.12619e-05
2151,6,10,1.51421e-06,1.12383e-05
2161,7,12,1.52384e-06,1.09963e-05
2171,7,11,1.44632e-06,1.10427e-05
2181,8,16,1.34484e-06,1.0668e-05
2191,7,9,1.47237e-06,1.05074e-05
2201,6,6,1.52788e-06,1.03252e-05
2211,8,9,1.2454e-06,1.01272e-05
2221,10,8,1.31972e-06,1.02027e-05
2231,7,9,1.22624e-06,1.05938e-05
2241,7,15,1.1106e-06,1.04662e-05
2251,7,15,1.02025e-06,1.05817e-05
2261,6,16,1.01016e-06,1.07558e-05
2271,7,12,8.82171e-07,1.08345e-05
2281,7,11,8.59269e-07,1.09495e-05
2291,9,16,9.45394e-07,1.12819e-05
2301,9,11,8.17835e-07,1.14405e-05
2311,8,9,7.20242e-07,1.17272e-05
2321,8,9,6.77362e-07,1.1387e-05
2331,7,12,7.88057e-07,1.09938e-05
2341,8,9,7.46978e-07,1.04386e-05
2351,8,11,7.54419e-07,1.05141e-05
2361,7,9,8.37606e-07,1.03533e-05
2371,5,9,8.10037e-07,1.10649e-05
2381,5,8,8.22352e-07,1.09488e-05
2391,7,9,7.32272e-07,1.00285e-05
2401,5,12,4.35231e-07,9.91635e-06
2411,5,13,4.4724e-07,1.01893e-05
2421,4,12,5.64039e-07,1.01325e-05
2431,4,15,6.45755e-07,1.00916e-05
2441,4,14,5.65252e-07,1.01695e-05
2451,3,10,5.46819e-07,9.95396e-06
2461,4,10,5.27882e-07,9.6992e-06
2471,6,9,4.60908e-07,9.64402e-06
2481,7,11,5.39711e-07,9.87581e-06
2491,6,9,6.48905e-07,1.03512e-05
