Seed, N, MU, RHO, S, Num_neutral, Num_sel, pi_neutral, pi_sel
8827025067805232898, 5000, 3.0e-09, 1.0e-11, -0.0001, 10, 33, 3.55624e-06, 1.34025e-05
4240687472801575017, 5000, 1.0e-09, 1.0e-09, -0.0001, 6, 8, 1.09864e-07, 3.10433e-07
7277834952043197459, 5000, 3.0e-09, 1.0e-11, -0.0001, 17, 27, 8.69998e-06, 8.70331e-06
7483794160639310226, 5000, 3.0e-09, 1.0e-11, -0.0001, 10, 28, 2.87901e-06, 9.68894e-06
3807503567149099550, 5000, 3.0e-09, 1.0e-11, -0.0001, 10, 27, 7.63704e-06, 1.92121e-05
3143471931020783105, 5000, 3.0e-09, 1.0e-11, -0.0001, 11, 31, 5.31879e-06, 6.27586e-06
5670288214989148702, 5000, 3.0e-09, 1.0e-11, -0.0001, 13, 27, 4.08754e-06, 1.2403e-05
1917102990626582905, 5000, 3.0e-09, 1.0e-11, -0.0001, 17, 32, 3.11098e-06, 1.45769e-05
374821548078027213, 5000, 3.0e-09, 1.0e-11, -0.0001, 13, 24, 3.51373e-06, 6.80682e-06
6237578627828093918, 5000, 3.0e-09, 1.0e-11, -0.0001, 11, 30, 3.76098e-06, 1.43032e-05
581738215069134823, 5000, 3.0e-09, 1.0e-11, -0.0001, 18, 27, 3.58247e-06, 6.71719e-06
5516828842652870509, 5000, 3.0e-09, 1.0e-11, -0.0001, 15, 29, 4.09914e-06, 5.4424e-06
179119444264438958, 5000, 1.0e-09, 1.0e-09, -0.0001, 7, 7, 4.30473e-06, 6.20277e-06
6733933514887666120, 5000, 3.0e-09, 1.0e-11, -0.0001, 15, 25, 1.36659e-06, 7.27982e-06
2098841653545541416, 5000, 3.0e-09, 1.0e-11, -0.0001, 24, 24, 6.8619e-06, 3.71866e-06
4142533447859826547, 5000, 3.0e-09, 1.0e-11, -0.0001, 13, 28, 4.94765e-06, 8.6149e-06
683764804413536092, 5000, 3.0e-09, 1.0e-11, -0.0001, 15, 24, 3.70853e-07, 5.42665e-06
5058765637385306658, 5000, 3.0e-09, 1.0e-11, -0.0001, 15, 30, 7.41212e-06, 6.16914e-06
4592295392515590239, 5000, 3.0e-09, 1.0e-11, -0.0001, 14, 32, 6.45205e-06, 1.01729e-05
3630662385058416318, 5000, 3.0e-09, 1.0e-11, -0.0001, 17, 26, 8.37111e-06, 8.56161e-06
1348437954606039909, 5000, 3.0e-09, 1.0e-11, -0.0001, 16, 38, 3.70866e-06, 7.27806e-06
5757425421327135893, 5000, 3.0e-09, 1.0e-11, -0.0001, 13, 39, 3.67731e-06, 9.47603e-06
2154952534380875356, 5000, 3.0e-09, 1.0e-11, -0.0001, 17, 26, 7.76378e-06, 7.754e-06
3844680709053900785, 5000, 1.0e-09, 1.0e-09, -0.0001, 3, 9, 1.30742e-06, 7.78798e-07
3602876857930103351, 5000, 3.0e-09, 1.0e-11, -0.0001, 13, 25, 1.97773e-06, 5.82034e-06
5631603433150093548, 5000, 3.0e-09, 1.0e-11, -0.0001, 16, 30, 2.21752e-06, 6.8247e-06
1053757923479721107, 5000, 3.0e-09, 1.0e-11, -0.0001, 11, 18, 3.85776e-06, 5.67194e-06
4289494866044565903, 5000, 3.0e-09, 1.0e-11, -0.0001, 13, 25, 4.76567e-06, 5.14871e-06
2376248269819423332, 5000, 3.0e-09, 1.0e-11, -0.0001, 16, 36, 2.10577e-06, 1.33858e-05
810642983296000471, 5000, 3.0e-09, 1.0e-11, -0.0001, 15, 20, 2.79255e-06, 4.64577e-06
1525960792729379097, 5000, 3.0e-09, 1.0e-11, -0.0001, 8, 33, 3.66609e-06, 6.85888e-06
1931539434670681403, 5000, 3.0e-09, 1.0e-11, -0.0001, 10, 28, 6.69441e-06, 9.64176e-06
5375832902977452160, 5000, 3.0e-09, 1.0e-11, -0.0001, 12, 24, 4.38954e-06, 4.39038e-06
3642620452359092048, 5000, 3.0e-09, 1.0e-11, -0.0001, 11, 34, 1.20577e-06, 1.23708e-05
8694153091395270841, 5000, 1.0e-09, 1.0e-09, -0.0001, 7, 10, 2.05833e-06, 6.78068e-06
3305177882026354992, 5000, 3.0e-09, 1.0e-11, -0.0001, 9, 20, 2.66746e-06, 6.87786e-06
91319257156695254, 5000, 3.0e-09, 1.0e-11, -0.0001, 10, 30, 3.05697e-06, 1.32615e-05
3252394858385280842, 5000, 3.0e-09, 1.0e-11, -0.0001, 11, 25, 1.93163e-06, 8.56848e-06
